Date,SKU,Version,Build Number,Status,Release Notes,Team Lead,QA Status,App Store Status
2024-08-31,iOSCheffyV1.0,1.0.0,1,Production,Initial App Store Release,Dev Team,Passed,Ready for Submission
2024-08-31,iOSCheffyV1.0Dev,1.0.0,Dev,Development,Development Build,Dev Team,In Progress,N/A
2024-08-31,iOSCheffyV1.0Beta,1.0.0,Beta,Beta Testing,Beta Testing Build,Dev Team,Testing,N/A
2024-08-31,iOSCheffyV1.0Test,1.0.0,Test,Testing,Internal Testing Build,Dev Team,Testing,N/A
2024-08-31,iOSCheffyV1.0Staging,1.0.0,Staging,Staging,Pre-Production Build,Dev Team,Testing,N/A
2024-12-31,iOSCheffyV1.0.1,1.0.1,1,Production,Bug Fixes & Minor Updates,Dev Team,Not Started,Not Started
2025-03-31,iOSCheffyV1.1,1.1.0,1,Production,Feature Updates,Dev Team,Not Started,Not Started
2025-06-30,iOSCheffyV1.2,1.2.0,1,Production,Feature Updates,Dev Team,Not Started,Not Started
2025-09-30,iOSCheffyV1.3,1.3.0,1,Production,Feature Updates,Dev Team,Not Started,Not Started
2025-12-31,iOSCheffyV2.0,2.0.0,1,Production,Major Version Release,Dev Team,Not Started,Not Started
